phrase,cluster,intent,seed,group,observedDate,geo,lang,volume,difficulty,cpc,timesObserved,collidesWithExisting,existingOwnerSlug,nearCollision,nearCollisionOwnerSlug
best offline android games with controller support,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline games no wifi,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi fun 100+,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi games apk,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi games for android,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi games for android free download,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi games free,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi games free download,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best offline games no wifi needed,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline mobile games no wifi,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best pop up video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best powerful video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best premium video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best quality video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best sound quality video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best space combat games android,A,app-discovery,space shooter games android,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best spaced repetition app for language learning,A,app-discovery,spaced repetition language learning,portfolio-language,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best survivor io like games,A,app-discovery,survivor io style games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best tennis career mode game,A,app-discovery,tennis career mode,portfolio-sports-gm,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best tower defense strategy games,A,app-discovery,tower defense strategy,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best ui video player android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video editing player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player and editor for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player android box,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player android tv box,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player android tv stremio,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player app for android mobile,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player app for android phone,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player app for android tv box,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player app in android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player browser android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best video player codec android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
